longitude,latitude,forest_loss_prediction
81.8323,28.0966,1
82.2668,28.3269,0
82.1625,28.4285,0
81.4523,28.32,0
82.8756,27.7117,0
83.0231,27.6009,0
81.7594,28.4403,0
81.8634,28.1364,0
81.3033,28.8147,0
87.9636,26.4961,0
82.4082,27.921,0
82.7325,28.0705,0
80.4739,28.9942,0
81.524,28.4849,1
80.7195,28.9677,1
82.766,27.7972,1
81.5245,28.5367,1
81.8047,28.2745,0
81.3246,28.6216,1
82.4806,28.2358,0
81.8921,28.5801,0
84.9267,28.3668,0
84.4432,27.547,0
81.4146,28.3896,0
84.7946,27.3425,1
84.4596,27.5501,1
81.7006,28.4784,0
81.7742,28.4321,1
81.7944,28.2364,0
81.5381,28.3183,0
81.2834,28.7972,0
80.5637,29.0972,1
81.6734,28.4847,0
82.8548,27.8322,0
81.5416,28.3524,0
81.0627,28.9149,0
87.7648,27.4686,0
81.461,28.7282,1
83.3937,27.7258,0
81.655,28.4674,0
86.5769,26.839,1
82.0081,27.9901,1
81.2946,28.5389,1
81.5155,28.4968,1
82.9215,28.1464,1
82.111,28.0415,0
81.28,28.566,1
86.0845,27.2591,0
80.9843,28.8757,1
80.4198,29.2711,0
81.5416,28.3524,0
84.9094,27.3111,1
81.9483,28.1249,0
81.2907,28.5943,0
87.6097,27.1318,1
80.4472,28.9951,0
82.3226,27.8563,1
86.0845,27.2591,0
81.3656,28.586,0
82.9019,27.8292,0
81.4335,28.4248,0
81.5127,28.3091,0
85.7275,27.0397,1
82.0704,28.416,0
83.9475,27.4914,0
85.5723,27.304,0
83.0876,27.6691,0
83.6172,27.6758,1
80.6423,29.0064,0
81.9935,28.6535,1
83.7504,27.8036,0
80.7849,28.8147,0
81.1941,28.9922,1
82.8231,27.9562,0
80.3224,28.8158,1
82.3322,28.7984,0
81.284,28.578,1
80.8601,29.0369,0
81.6618,28.4944,0
81.5016,28.5059,1
85.0577,27.2132,1
87.8411,27.53,0
80.58,28.8579,0
82.9157,28.009,0
82.9891,28.1051,1
83.9045,27.6218,0
82.0956,28.3548,0
81.3332,28.502,1
80.8614,28.7055,1
82.5284,27.9167,0
82.2139,27.9537,0
87.2643,26.7762,0
81.6902,28.2956,0
87.9641,26.4816,0
82.6424,28.0134,1
80.7461,28.9717,0
81.8254,28.1335,0
80.5534,28.9417,0
81.5861,28.4564,0
82.0831,28.4253,0
80.5677,28.8925,0
80.8377,28.8015,0
81.6181,28.3583,0
80.7373,29.3547,0
81.3023,28.707,0
81.3437,28.5556,0
80.4883,28.7485,0
82.0192,27.9657,0
83.1187,27.8468,1
81.443,28.7701,1
81.9849,28.0606,1
84.1528,27.737,0
81.4917,28.4168,0
81.6018,28.3774,0
80.6181,28.9117,0
81.472,28.7297,0
83.5038,27.6476,0
81.463,28.7339,1
82.0896,28.0723,0
81.0824,28.9054,0
81.9802,27.9604,0
80.5612,29.3677,0
85.7739,27.0172,0
84.9922,27.187,0
81.8885,28.1879,0
82.2539,28.2638,0
81.277,28.5633,0
80.7365,29.0923,0
82.3774,27.7933,0
81.411,28.9643,1
81.836,28.6987,1
81.9438,28.2669,0
81.932,28.5021,1
80.4411,28.7321,0
87.0463,26.841,1
